Census Tract FIPS Code,County,Total Population,% Non-Hispanic White,% Black,% Hispanic,% Asian,% Native Hawaiian & Other Pacific Islander,% American Indian & Alaskan Native,% Poverty,AB 1550 Low-Income Communities,Metropolitan Planning Organization,SB 535 Disadvantaged Communities,Area Median Income (Regionally Adjusted),Land Area (sqmi),Population Density (sqmi),Population Density (Percentile),% Bike for Job Commute,% Carpooled for Job Commute,% Drove Alone for Job Commute,% Households Paying 30-49% of Income Towards Housing Costs,Clunker Vehicles (Percentile),% Households Paying 50% or More of Income Towards Housing Costs,% Households with No Vehicle,% Multi-Family Housing Units,% No Health Insurance,% Owner-Occupied Households,% Public Transportation for Job Commute,% Renter-Occupied Households,% Single-Family Housing Units,% Walk for Job Commute,% with Medicaid Health Insurance Only,Accessibility to Employment Opportunities (Percentile),All Traffic Accidents (Percentile),Asthma Prevalence,Asthma Prevalence (Percentile),Auto Insurance Premium (Percentile),Availability of Parks & Public Open Space per Population (Percentile),Availability of Weighted Bikeways per Population (Percentile),Average Commute VMT (Percentile),Average Travel Time to Work (Minutes),Average VMT per Household (Percentile),Cardiovascular Disease (Percentile),Cardiovascular Disease Prevalence,High-Quality Transit Locations (Percentile),Housing Unit Density (Percentile),Housing Unit Density (sqmi),Job Density (Percentile),Job Density (sqmi),Jobs-Housing Fit (Percentile),Largest Ethnoracial Group,Lending Barriers (Percentile),Life Expectancy at Birth,Median Household Income,"Neighborhood Change, Housing Variables (Percentile)","Neighborhood Change, Socioeconomic Variables (Percentile)",Newer Clean Vehicles (Percentile),Older Clean Vehicles (Percentile),Primary Care Shortage Areas,Total Housing Units,Total Occupied Housing Units,Vehicles per Household,Walkability Index,Walkability Index (Percentile),x,y
6037480804,Los Angeles,4988,6.98,2.37,42.02,47.43,0,0,15.33,Yes,SCAG,No,03. 80-140%,0.3237112,15408.8,80 to 90,2.17,8.06,80.31,22.22,10 to 20,26.18,9.51,58.04,5.23,28.64,4.91,71.36,41.55,3.85,17.8,90 to 100,60 to 70,27.18,20 to 30,80 to 90,20 to 30,2,20 to 30,34.59,20 to 30,10 to 20,5.3,8,80 to 90,5955.93,60 to 70,2208.76,50 to 60,Asian,0 to 10,85.2,61934,20 to 30,70 to 80,60 to 70,60 to 70,No,1928,1756,1.68,16.67,90 to 100,,
6037480901,Los Angeles,5512,6.01,4.64,41.46,46.92,0,0,17.62,Yes,SCAG,No,03. 80-140%,0.3673399,15005.18,80 to 90,0,6.87,87.03,22.23,20 to 30,18.85,4.86,58.53,7.37,22.04,4.65,77.96,41.47,0.4,23.13,90 to 100,80 to 90,19.77,0 to 10,80 to 90,20 to 30,0,20 to 30,27.6,30 to 40,0 to 10,3.61,6,80 to 90,4706.81,90 to 100,7453.59,50 to 60,Asian,40 to 50,88.8,67704,40 to 50,40 to 50,60 to 70,60 to 70,No,1729,1688,2,15.75,80 to 90,,
6037480902,Los Angeles,4263,4.88,1.88,45.2,46,1.06,0.75,16.82,Yes,SCAG,No,02. 60-80%,0.2011716,21190.86,90 to 100,0,7.56,86.43,27.33,10 to 20,29.35,7.69,57.42,9.8,13.89,4.8,86.11,42.17,0.92,33.41,90 to 100,80 to 90,33.26,30 to 40,80 to 90,30 to 40,0,20 to 30,29.41,30 to 40,20 to 30,6.01,7,90 to 100,7202.81,70 to 80,2972.59,40 to 50,Asian,0 to 10,80.3,47070,20 to 30,50 to 60,50 to 60,40 to 50,No,1449,1339,1.73,15.1,80 to 90,,
6037480903,Los Angeles,3108,4.76,1.8,29.99,62.1,0,0,23.92,Yes,SCAG,No,03. 80-140%,0.3103594,10014.2,70 to 80,0,13.64,77.24,17.26,20 to 30,34.3,14.13,36.08,10.29,35.47,7.39,64.53,63.92,0,25.02,90 to 100,70 to 80,35.91,30 to 40,80 to 90,40 to 50,0,20 to 30,29.89,20 to 30,30 to 40,6.48,7,70 to 80,3402.51,70 to 80,2432.66,40 to 50,Asian,20 to 30,80.7,59688,40 to 50,30 to 40,50 to 60,50 to 60,No,1056,984,1.61,15.67,80 to 90,,
6037481001,Los Angeles,4259,12.61,0.7,24.96,61.45,0,0.31,11.34,Yes,SCAG,No,02. 60-80%,0.4052702,10509.04,70 to 80,0,8.26,82.88,20.55,10 to 20,35.63,19.31,49.39,4.65,34.19,4.49,65.81,50.61,0.43,19.19,90 to 100,80 to 90,30,20 to 30,80 to 90,20 to 30,1,10 to 20,30.6,0 to 10,10 to 20,5.52,5,70 to 80,4046.68,90 to 100,6721.44,50 to 60,Asian,60 to 70,83.7,45000,90 to 100,80 to 90,60 to 70,60 to 70,No,1640,1486,1.35,15.63,80 to 90,,
6037481002,Los Angeles,5408,6.62,0.8,40.05,52.02,0.46,0,12.24,Yes,SCAG,No,03. 80-140%,0.3608577,14986.52,80 to 90,0,14.14,80.95,24.46,10 to 20,24.41,6.01,59.33,11.48,37.8,3.44,62.2,40.67,0,16.22,80 to 90,80 to 90,34.31,30 to 40,80 to 90,40 to 50,0,30 to 40,33.15,40 to 50,20 to 30,6.41,5,80 to 90,6043.93,80 to 90,5262.46,50 to 60,Asian,40 to 50,81,58589,20 to 30,40 to 50,70 to 80,60 to 70,No,2181,2013,1.79,15.48,80 to 90,,
6037481101,Los Angeles,4354,9.53,1.42,42.93,44.35,0.44,0.46,11.16,Yes,SCAG,No,03. 80-140%,0.3407919,12776.13,80 to 90,1.31,7.43,84.91,36.02,20 to 30,20.1,7.13,58.63,11.71,19.74,3.88,80.26,41.37,1.59,23.19,80 to 90,70 to 80,21.62,10 to 20,80 to 90,30 to 40,1,20 to 30,30.94,30 to 40,10 to 20,5.21,7,80 to 90,4554.1,90 to 100,9923.94,50 to 60,Asian,60 to 70,82.8,55914,60 to 70,10 to 20,70 to 80,60 to 70,No,1552,1403,1.92,17.21,90 to 100,,
6037481102,Los Angeles,4025,13.32,1.54,19.85,65.17,0,0,13.2,Yes,SCAG,No,02. 60-80%,0.2375011,16947.29,80 to 90,0,9.2,85.62,22.96,0 to 10,37.32,5.96,79.13,15.8,12.56,3.47,87.44,20.87,0.88,19.5,80 to 90,90 to 100,24.72,10 to 20,80 to 90,10 to 20,1,30 to 40,28.29,30 to 40,20 to 30,6.06,7,80 to 90,6517.86,80 to 90,5061.03,50 to 60,Asian,40 to 50,83.1,50087,70 to 80,0 to 10,60 to 70,60 to 70,No,1548,1409,1.64,15.08,80 to 90,,
6037481103,Los Angeles,4952,6.7,0.32,44.39,48.95,0,0.34,12.98,Yes,SCAG,Yes,03. 80-140%,0.548425,9029.49,60 to 70,0,12.92,83.79,30.85,10 to 20,14.97,10.45,20.72,8.78,48.96,2.5,51.04,79.28,0.79,28.1,80 to 90,70 to 80,28.09,20 to 30,80 to 90,30 to 40,1,20 to 30,28.47,50 to 60,30 to 40,6.92,3,60 to 70,2957.56,60 to 70,1982.04,50 to 60,Asian,60 to 70,80.9,61506,60 to 70,40 to 50,60 to 70,50 to 60,No,1622,1397,2.08,15.24,80 to 90,,
6037481201,Los Angeles,3651,7.97,0,23.66,67.46,0,0,13.06,Yes,SCAG,No,03. 80-140%,0.3972721,9190.17,60 to 70,1.21,6.41,85.41,23.32,10 to 20,28.81,6.72,21.31,14.32,44.9,3.87,55.1,78.69,2.54,18.27,80 to 90,40 to 50,22.77,10 to 20,80 to 90,20 to 30,4,20 to 30,31.93,40 to 50,20 to 30,6.31,7,60 to 70,3189.25,70 to 80,2378.72,60 to 70,Asian,60 to 70,80.5,58036,60 to 70,60 to 70,60 to 70,50 to 60,No,1267,1205,2.02,14.26,70 to 80,,
6037481202,Los Angeles,6088,9.76,0.33,30.68,59.23,0,0.1,11.58,Yes,SCAG,No,03. 80-140%,0.6037074,10084.36,70 to 80,0.23,9.89,87.3,22.3,30 to 40,20.96,3.99,25.43,8.67,47.82,2.01,52.18,74.57,0,23.74,80 to 90,60 to 70,25.86,10 to 20,80 to 90,30 to 40,2,30 to 40,30.5,40 to 50,20 to 30,6.24,7,70 to 80,3485.13,50 to 60,1590.17,50 to 60,Asian,20 to 30,82.3,70735,40 to 50,40 to 50,70 to 80,60 to 70,No,2104,1930,2.01,13.86,60 to 70,,
6037481300,Los Angeles,3334,3.33,0.42,29.24,67.07,0.18,0.18,13.35,Yes,SCAG,No,03. 80-140%,0.346241,9629.13,60 to 70,0,9.36,87.35,25.63,30 to 40,19.49,3.19,1.61,7.8,67.49,2.26,32.51,98.39,0.97,25.88,80 to 90,60 to 70,25.11,10 to 20,80 to 90,0 to 10,0,20 to 30,30.06,70 to 80,10 to 20,4.71,6,50 to 60,2509.81,70 to 80,2385.62,40 to 50,Asian,20 to 30,84.3,62930,20 to 30,50 to 60,50 to 60,40 to 50,Yes,869,846,2.43,13.7,60 to 70,,
6037481401,Los Angeles,6014,4.39,0.03,15.41,79.22,0,0.6,19.69,Yes,SCAG,Yes,02. 60-80%,0.4658589,12909.49,80 to 90,0.27,15.98,72.41,17.27,0 to 10,38.66,7.71,39.49,12.06,37.84,5.37,62.16,60.51,5.44,34.24,80 to 90,70 to 80,27.04,10 to 20,80 to 90,40 to 50,1,10 to 20,25.89,30 to 40,30 to 40,6.61,8,70 to 80,4065.61,80 to 90,5244.08,40 to 50,Asian,60 to 70,82.8,43980,60 to 70,20 to 30,50 to 60,50 to 60,No,1894,1776,1.87,16.03,90 to 100,,
6037481402,Los Angeles,7242,7.17,0.28,22.78,69.95,0,0,11.56,Yes,SCAG,No,03. 80-140%,0.7083701,10223.47,70 to 80,0,18.53,71.06,22.85,10 to 20,18.86,3.17,26.81,7.8,54.18,7.12,45.82,73.19,2.9,33.28,80 to 90,80 to 90,27.23,20 to 30,80 to 90,20 to 30,1,10 to 20,27.88,30 to 40,30 to 40,6.66,6,60 to 70,3037.96,80 to 90,4223.78,40 to 50,Asian,50 to 60,84.2,60699,20 to 30,20 to 30,60 to 70,50 to 60,No,2152,1925,2.16,16.15,90 to 100,,
6037481500,Los Angeles,4640,5.39,1.19,15.88,76.16,0,0,15.72,Yes,SCAG,Yes,03. 80-140%,0.8448197,5492.3,40 to 50,0,7.27,86.31,19,10 to 20,18.38,5.11,16.68,5.86,70.33,1.87,29.67,82.88,1.93,21.27,90 to 100,70 to 80,34.4,30 to 40,80 to 90,30 to 40,1,20 to 30,31.95,20 to 30,20 to 30,6.43,4,40 to 50,1859.57,60 to 70,2215.86,40 to 50,Asian,20 to 30,83.2,62344,0 to 10,30 to 40,70 to 80,70 to 80,No,1571,1527,1.84,14.9,70 to 80,,
6037481603,Los Angeles,3418,4.07,5.21,17.55,67.35,4.77,0.76,18.64,Yes,SCAG,Yes,03. 80-140%,0.2531695,13500.84,80 to 90,2.04,16.97,74.18,19.71,10 to 20,37.81,7.23,44.01,8.72,45.7,3.16,54.3,55.99,1.61,23.43,90 to 100,90 to 100,38.05,30 to 40,80 to 90,30 to 40,0,10 to 20,27.81,20 to 30,30 to 40,7.02,3,80 to 90,5474.59,80 to 90,3799.83,40 to 50,Asian,20 to 30,77.4,48454,30 to 40,60 to 70,60 to 70,60 to 70,No,1386,1175,1.82,15.51,80 to 90,,
6037481604,Los Angeles,3825,9.78,1.36,33.46,55.87,0,0.24,11.5,Yes,SCAG,Yes,03. 80-140%,0.2405455,15901.36,80 to 90,0,18.89,69.4,26.24,10 to 20,22.15,9.04,41.3,9.36,29.7,6.56,70.3,58.7,2.6,21.12,90 to 100,80 to 90,38.05,30 to 40,80 to 90,40 to 50,0,10 to 20,27.25,10 to 20,30 to 40,7.02,4,80 to 90,5828.42,80 to 90,5267.19,50 to 60,Asian,0 to 10,83.8,57262,30 to 40,70 to 80,60 to 70,50 to 60,No,1402,1350,1.63,15.16,80 to 90,,
6037481605,Los Angeles,2910,5.29,0,30.58,63.44,0.27,0.58,11.48,Yes,SCAG,No,02. 60-80%,0.2953438,9852.92,70 to 80,0,22.25,72.91,18.76,30 to 40,28.76,5.87,23.75,7.42,34.28,1.69,65.72,74.47,2.28,29.69,90 to 100,70 to 80,25.87,10 to 20,80 to 90,0 to 10,1,20 to 30,27.49,20 to 30,0 to 10,4.68,2,70 to 80,3805.73,30 to 40,534.97,40 to 50,Asian,30 to 40,80.2,55938,70 to 80,80 to 90,50 to 60,50 to 60,No,1124,1056,1.8,12.65,50 to 60,,
6037481606,Los Angeles,4962,4.92,4.49,21.79,67.17,0,0.42,13.09,Yes,SCAG,No,02. 60-80%,0.3328467,14907.76,80 to 90,0.32,11.03,85.74,23.87,20 to 30,27.34,7.41,51.03,9.79,28.77,1.96,71.23,48.43,0.36,30.47,90 to 100,80 to 90,30,20 to 30,80 to 90,20 to 30,0,20 to 30,28.02,30 to 40,10 to 20,5.48,8,80 to 90,4975.26,90 to 100,7279.63,40 to 50,Asian,0 to 10,84.2,53177,10 to 20,50 to 60,60 to 70,50 to 60,No,1656,1592,1.81,16.47,90 to 100,,
6037481711,Los Angeles,4341,3.02,0.23,10.14,83.83,1.89,0,24.28,Yes,SCAG,No,01. 0-60%,0.1727189,25133.32,90 to 100,0,19.36,72.14,27.75,0 to 10,41.51,13.75,69.58,10.04,24.63,6.15,75.37,29.88,2.03,34,90 to 100,90 to 100,20.25,0 to 10,80 to 90,10 to 20,1,10 to 20,30.49,10 to 20,0 to 10,3.66,5,90 to 100,8545.68,90 to 100,7671.42,40 to 50,Asian,60 to 70,93.3,37328,10 to 20,40 to 50,50 to 60,30 to 40,Yes,1476,1433,1.55,13.58,60 to 70,,
6037481712,Los Angeles,5451,0.29,0,18.11,80.5,1.25,0,14.6,Yes,SCAG,No,02. 60-80%,0.2842585,19176.21,90 to 100,0.43,16.35,79.31,28.29,10 to 20,30.96,11.96,43.04,6.95,32.31,3.29,67.69,56.96,0.35,30.03,90 to 100,80 to 90,22.59,10 to 20,80 to 90,0 to 10,1,20 to 30,29.95,30 to 40,0 to 10,4.09,5,80 to 90,5991.03,70 to 80,3437.01,30 to 40,Asian,50 to 60,82.3,50144,40 to 50,70 to 80,60 to 70,50 to 60,Yes,1703,1656,1.84,14.55,70 to 80,,
6037481713,Los Angeles,2851,2,0,16.73,81.69,0,0.91,14.03,Yes,SCAG,No,03. 80-140%,0.1799997,15838.92,80 to 90,0,13.74,80.22,26.01,0 to 10,21.73,10,57.51,11.22,31.91,4.29,68.09,42.49,1.75,23.78,90 to 100,80 to 90,28.92,20 to 30,80 to 90,0 to 10,0,10 to 20,28.19,20 to 30,10 to 20,5.01,6,80 to 90,5844.45,90 to 100,11094.46,40 to 50,Asian,80 to 90,85.1,56792,60 to 70,90 to 100,60 to 70,60 to 70,No,1052,940,1.82,14.87,70 to 80,,
6037481714,Los Angeles,2784,3.77,0.22,4.56,89.08,0.61,0,21.19,Yes,SCAG,No,01. 0-60%,0.1757078,15844.49,80 to 90,1.19,13.55,78.26,24.67,0 to 10,30.01,15.37,56.32,13.04,23.72,2.22,76.28,43.68,4.01,22.99,90 to 100,90 to 100,31.83,20 to 30,80 to 90,20 to 30,0,10 to 20,27.96,10 to 20,10 to 20,5.49,9,80 to 90,5446.54,90 to 100,10722.35,40 to 50,Asian,70 to 80,85.4,41512,50 to 60,80 to 90,50 to 60,40 to 50,No,957,898,1.51,17.95,90 to 100,,
6037481800,Los Angeles,2820,16.1,0.25,21.03,60.92,0,0,9.32,No,SCAG,No,03. 80-140%,0.3173934,8884.87,60 to 70,0,18.22,76.1,18.25,20 to 30,15.09,7.89,0.87,8.94,74.23,1.92,25.77,97.72,1.28,16.56,90 to 100,10 to 20,24.44,10 to 20,80 to 90,30 to 40,0,10 to 20,32.38,30 to 40,0 to 10,4.36,7,60 to 70,2904.91,20 to 30,387.53,30 to 40,Asian,40 to 50,86.6,86136,70 to 80,60 to 70,70 to 80,60 to 70,No,922,912,1.93,12.1,50 to 60,,
6037481901,Los Angeles,5954,15.74,0.91,47.56,35.91,0,0,6.97,No,SCAG,No,03. 80-140%,0.7080948,8408.48,60 to 70,0,7.31,87.87,14.83,30 to 40,23.39,4.86,7.62,3.49,65.5,3.06,34.5,91.68,0.32,12.65,90 to 100,60 to 70,36.03,30 to 40,80 to 90,40 to 50,0,20 to 30,29.33,40 to 50,30 to 40,6.48,6,60 to 70,2834.37,40 to 50,1019.64,30 to 40,Hispanic,10 to 20,83.2,84792,40 to 50,30 to 40,60 to 70,60 to 70,No,2007,1936,2.03,14.59,70 to 80,,
6037481902,Los Angeles,3420,7.69,1.4,56.2,33.51,0.73,0,10.7,Yes,SCAG,No,03. 80-140%,0.3422275,9993.35,70 to 80,0.38,10.08,87.2,28.92,30 to 40,18.47,7.55,48.2,6.36,49.86,0.51,50.14,51.8,1.01,20.57,90 to 100,60 to 70,31,20 to 30,80 to 90,50 to 60,0,20 to 30,31.22,40 to 50,10 to 20,5.58,7,70 to 80,3576.57,30 to 40,648.69,30 to 40,Hispanic,20 to 30,83,62903,70 to 80,30 to 40,60 to 70,60 to 70,No,1224,1073,1.97,16.33,90 to 100,,
6037482001,Los Angeles,2615,4.74,0,12.77,79.5,0,0,6.93,No,SCAG,No,04. 140%+,1.128868,2316.48,20 to 30,0.56,17.59,78.27,7.88,20 to 30,16.57,5.12,19.54,3.75,82.42,1.69,17.58,80.46,0.85,9.48,90 to 100,50 to 60,33.19,30 to 40,80 to 90,60 to 70,0,30 to 40,32.29,40 to 50,20 to 30,5.73,5,20 to 30,956.71,80 to 90,4776.47,20 to 30,Asian,30 to 40,85.1,89531,80 to 90,30 to 40,70 to 80,70 to 80,No,1080,1035,2.03,13.46,60 to 70,,
6037482002,Los Angeles,6682,4.58,1.38,30.8,60.13,1.44,0.76,12.57,No,SCAG,No,03. 80-140%,0.9607751,6954.8,50 to 60,0,11.23,85.67,22.4,10 to 20,19.03,6.17,41.6,9.14,54.55,2.82,45.45,58.4,0,19.31,90 to 100,50 to 60,34.84,30 to 40,80 to 90,50 to 60,0,30 to 40,30.17,20 to 30,20 to 30,6.03,3,60 to 70,2782.13,80 to 90,3567.95,20 to 30,Asian,20 to 30,84.7,59779,30 to 40,20 to 30,80 to 90,80 to 90,No,2673,2449,1.79,13.12,50 to 60,,
6037482101,Los Angeles,4641,5.06,0.24,22.13,68.91,3.06,0,13.23,Yes,SCAG,No,03. 80-140%,0.4448858,10431.89,70 to 80,0.5,5.46,89.29,25.71,10 to 20,24.36,8.86,26.56,6.7,54.09,4.76,45.91,73.44,0,23.01,90 to 100,60 to 70,35.9,30 to 40,80 to 90,20 to 30,1,20 to 30,30.57,30 to 40,20 to 30,6.18,8,70 to 80,3520,70 to 80,3443.58,30 to 40,Asian,40 to 50,84,58255,10 to 20,10 to 20,70 to 80,70 to 80,No,1566,1468,2.01,16.18,90 to 100,,
6037482102,Los Angeles,2849,6.56,0.67,32.61,57.7,0,1.61,9.66,No,SCAG,No,03. 80-140%,0.4239464,6720.19,50 to 60,0.77,13.14,81.17,24.39,10 to 20,17.48,3.36,6.36,6.72,76.71,4.61,23.29,93.64,0.31,12.46,90 to 100,60 to 70,30.01,20 to 30,80 to 90,30 to 40,2,30 to 40,37.84,40 to 50,10 to 20,5.18,4,50 to 60,2375.3,70 to 80,2608.82,30 to 40,Asian,10 to 20,84.6,74297,60 to 70,10 to 20,70 to 80,80 to 90,No,1007,893,2.29,11.19,40 to 50,,
6037482201,Los Angeles,4006,2.97,0.02,18.97,77.46,0,0,23.62,Yes,SCAG,No,01. 0-60%,0.298572,13417.2,80 to 90,0,7.12,87.42,18.66,10 to 20,44.11,14.32,40.8,6.93,40.11,4.91,59.89,59.2,0.55,26.04,90 to 100,70 to 80,22.94,10 to 20,80 to 90,20 to 30,2,10 to 20,26.99,10 to 20,0 to 10,4.08,6,80 to 90,4457.89,80 to 90,4913.39,40 to 50,Asian,60 to 70,85,42202,70 to 80,10 to 20,60 to 70,50 to 60,No,1331,1229,1.7,15.51,80 to 90,,
6037482202,Los Angeles,4897,1.63,1.41,22.07,74.88,0.25,1.37,16.15,Yes,SCAG,No,02. 60-80%,0.2497571,19607.05,90 to 100,0,14.53,82.24,22.62,0 to 10,33.29,11.64,40.81,7.19,45.36,2.2,54.64,56.62,1.02,23.85,80 to 90,70 to 80,24.96,10 to 20,80 to 90,20 to 30,1,10 to 20,29.64,40 to 50,0 to 10,4.48,4,80 to 90,6534.35,60 to 70,2242.18,40 to 50,Asian,50 to 60,85.2,50407,30 to 40,20 to 30,60 to 70,50 to 60,No,1632,1521,1.87,13.62,60 to 70,,
6037482301,Los Angeles,4893,7.26,0.51,20.21,69.85,1.9,0,16.64,Yes,SCAG,No,01. 0-60%,0.3373016,14506.31,80 to 90,0,15.99,78.56,27.52,10 to 20,35.53,6.47,16.86,7.68,33.18,3.97,66.82,82.77,1.47,46.15,90 to 100,70 to 80,28.59,20 to 30,80 to 90,10 to 20,0,20 to 30,28.08,40 to 50,30 to 40,7.07,6,70 to 80,4061.65,50 to 60,1328.19,40 to 50,Asian,20 to 30,81.7,40583,30 to 40,10 to 20,40 to 50,40 to 50,Yes,1370,1314,2,12.16,50 to 60,,
6037482303,Los Angeles,6084,2.55,0,34.34,62.92,0,1.25,20.07,Yes,SCAG,No,02. 60-80%,0.3796021,16027.31,80 to 90,0,13,84.06,24.79,20 to 30,28.95,9.3,18.38,5.43,31.86,1.39,68.14,81.62,0.52,41.02,90 to 100,80 to 90,28.51,20 to 30,80 to 90,10 to 20,0,20 to 30,27.9,40 to 50,10 to 20,5.13,0,70 to 80,4357.19,70 to 80,3150.67,40 to 50,Asian,40 to 50,83.7,48233,20 to 30,20 to 30,40 to 50,30 to 40,Yes,1654,1538,1.95,12.9,50 to 60,,
6037482304,Los Angeles,3437,2.39,0,46.64,50.54,0,0,39.03,Yes,SCAG,No,01. 0-60%,0.2391691,14370.59,80 to 90,1.03,7.6,76.46,21.75,20 to 30,40.62,20.48,14.8,10.02,28.54,8.19,71.46,73.88,3.69,49.7,90 to 100,70 to 80,33.39,30 to 40,80 to 90,20 to 30,0,10 to 20,27.08,20 to 30,20 to 30,5.84,9,70 to 80,4097.52,70 to 80,2709.38,40 to 50,Asian,0 to 10,84.5,32287,30 to 40,10 to 20,50 to 60,40 to 50,Yes,980,918,1.57,15.76,80 to 90,,
6037482401,Los Angeles,3765,2.5,0,46.96,49.96,0,0.96,12.11,Yes,SCAG,Yes,02. 60-80%,0.3239652,11621.62,70 to 80,1.91,14.58,79.75,19.38,20 to 30,29.28,4.79,12.92,10.76,38.9,1.85,61.1,87.08,1.48,32.59,80 to 90,70 to 80,38.01,30 to 40,80 to 90,10 to 20,0,10 to 20,22.02,40 to 50,30 to 40,6.64,6,60 to 70,3154.66,60 to 70,1941.57,40 to 50,Asian,60 to 70,81.9,52407,60 to 70,60 to 70,50 to 60,40 to 50,Yes,1022,982,2,14.27,70 to 80,,
6037482402,Los Angeles,7585,4.27,0,41.85,53.65,0,0,9.18,Yes,SCAG,Yes,03. 80-140%,1.289475,5882.24,40 to 50,0.61,16.7,73.05,28.91,30 to 40,19.72,7.55,11.33,9.66,60.21,5.78,39.79,88.67,1.84,33.46,90 to 100,50 to 60,37.5,30 to 40,80 to 90,70 to 80,5,20 to 30,30.19,40 to 50,30 to 40,6.54,4,30 to 40,1765.83,70 to 80,2689.47,40 to 50,Asian,30 to 40,80.6,52622,30 to 40,10 to 20,50 to 60,50 to 60,Yes,2277,2277,1.99,13.86,60 to 70,,
6037482502,Los Angeles,3385,0.77,0.62,17.02,81.33,0,0,22.99,Yes,SCAG,No,02. 60-80%,0.2473618,13684.41,80 to 90,0,10.39,86.42,20.1,10 to 20,28.26,6.26,5.88,11.83,43.51,1.75,56.49,94.12,0,31.54,80 to 90,70 to 80,35.81,30 to 40,80 to 90,0 to 10,0,20 to 30,31,40 to 50,20 to 30,6.26,5,70 to 80,3917.34,50 to 60,1544.3,40 to 50,Asian,0 to 10,79.8,48448,0 to 10,80 to 90,50 to 60,40 to 50,Yes,969,878,2.04,14.33,70 to 80,,
6037482503,Los Angeles,4399,0.95,0.61,32.8,60.7,0,2.8,14.41,Yes,SCAG,No,03. 80-140%,0.2817303,15614.22,80 to 90,0.54,9.26,84.01,30,20 to 30,26.41,5.78,3.86,6.32,31.63,0.92,68.37,96.14,3.61,41.44,80 to 90,70 to 80,38.01,30 to 40,80 to 90,20 to 30,0,20 to 30,29.76,40 to 50,30 to 40,6.64,4,70 to 80,4046.42,80 to 90,4443.97,40 to 50,Asian,80 to 90,85.9,57121,20 to 30,70 to 80,30 to 40,30 to 40,Yes,1140,1056,2.12,14.38,70 to 80,,
6037482521,Los Angeles,5827,4.69,0.58,41,52.93,0,0.21,10.24,Yes,SCAG,No,03. 80-140%,0.5967665,9764.29,60 to 70,0,16.51,80.1,23.92,30 to 40,24.58,3.76,9.98,9.51,67.01,1.61,32.99,89.28,0.39,24.94,90 to 100,40 to 50,33.04,30 to 40,80 to 90,10 to 20,0,30 to 40,29.63,50 to 60,20 to 30,5.78,0,60 to 70,2736.41,50 to 60,1431.05,40 to 50,Asian,50 to 60,88,59727,50 to 60,0 to 10,60 to 70,50 to 60,No,1633,1464,2.35,11.41,40 to 50,,
6037482522,Los Angeles,4861,10.74,0.16,46.82,41.39,0,0.12,6.91,No,SCAG,No,03. 80-140%,0.6339307,7668.03,50 to 60,0.17,12.49,79.19,20.72,20 to 30,15.36,4.32,44.24,4.58,60.9,5.96,39.1,55.14,0.7,19.29,90 to 100,60 to 70,25.98,10 to 20,80 to 90,20 to 30,0,40 to 50,34.11,50 to 60,10 to 20,4.86,1,50 to 60,2560.22,40 to 50,925.97,30 to 40,Hispanic,30 to 40,84.4,67857,70 to 80,0 to 10,60 to 70,60 to 70,No,1623,1504,1.94,13.77,60 to 70,,
6037482600,Los Angeles,6835,6.67,0,30.49,59.74,0,1.68,12.32,No,SCAG,No,03. 80-140%,1.047927,6522.4,50 to 60,0,8.78,88.65,11.4,20 to 30,29.35,5.7,12.01,7.37,65.79,0.48,34.21,87.99,1.1,15.33,90 to 100,30 to 40,25.21,10 to 20,80 to 90,40 to 50,1,10 to 20,28.3,30 to 40,0 to 10,4.53,0,50 to 60,2375.17,20 to 30,346.4,30 to 40,Asian,20 to 30,83,69063,70 to 80,0 to 10,70 to 80,60 to 70,No,2489,2403,1.98,8.02,20 to 30,,
6037482701,Los Angeles,4163,3.72,0.62,52.73,37.04,0,0.43,12.4,Yes,SCAG,No,03. 80-140%,0.4746678,8770.34,60 to 70,0,4.83,86.61,24.96,30 to 40,22.01,7.99,21.39,9.48,55.96,6.93,44.04,78.61,0.47,14.73,90 to 100,70 to 80,31.61,20 to 30,80 to 90,20 to 30,0,20 to 30,34.49,50 to 60,10 to 20,5.56,3,60 to 70,3052.66,80 to 90,4139.74,30 to 40,Hispanic,20 to 30,81.4,68125,30 to 40,50 to 60,50 to 60,50 to 60,No,1449,1276,2.12,17.21,90 to 100,,
6037482702,Los Angeles,2399,6,1.29,42.85,48.6,0,0,5.45,Yes,SCAG,No,03. 80-140%,0.2773187,8650.7,60 to 70,0,9.16,89.38,19.74,40 to 50,18.08,4.74,3.08,4.52,77.68,1.47,22.32,94.91,0,14.08,90 to 100,30 to 40,32.81,20 to 30,80 to 90,30 to 40,1,20 to 30,34.32,40 to 50,10 to 20,5.66,0,60 to 70,3043.43,30 to 40,685.13,20 to 30,Asian,30 to 40,82.2,75119,90 to 100,90 to 100,60 to 70,50 to 60,No,844,802,2.05,13.68,60 to 70,,
