Census Tract FIPS Code,County,Total Population,% Non-Hispanic White,% Black,% Hispanic,% Asian,% Native Hawaiian & Other Pacific Islander,% American Indian & Alaskan Native,% Poverty,AB 1550 Low-Income Communities,Metropolitan Planning Organization,SB 535 Disadvantaged Communities,Area Median Income (Regionally Adjusted),Land Area (sqmi),Population Density (sqmi),Population Density (Percentile),% Bike for Job Commute,% Carpooled for Job Commute,% Drove Alone for Job Commute,% Households Paying 30-49% of Income Towards Housing Costs,Clunker Vehicles (Percentile),% Households Paying 50% or More of Income Towards Housing Costs,% Households with No Vehicle,% Multi-Family Housing Units,% No Health Insurance,% Owner-Occupied Households,% Public Transportation for Job Commute,% Renter-Occupied Households,% Single-Family Housing Units,% Walk for Job Commute,% with Medicaid Health Insurance Only,Accessibility to Employment Opportunities (Percentile),All Traffic Accidents (Percentile),Asthma Prevalence,Asthma Prevalence (Percentile),Auto Insurance Premium (Percentile),Availability of Parks & Public Open Space per Population (Percentile),Availability of Weighted Bikeways per Population (Percentile),Average Commute VMT (Percentile),Average Travel Time to Work (Minutes),Average VMT per Household (Percentile),Cardiovascular Disease (Percentile),Cardiovascular Disease Prevalence,High-Quality Transit Locations (Percentile),Housing Unit Density (Percentile),Housing Unit Density (sqmi),Job Density (Percentile),Job Density (sqmi),Jobs-Housing Fit (Percentile),Largest Ethnoracial Group,Lending Barriers (Percentile),Life Expectancy at Birth,Median Household Income,"Neighborhood Change, Housing Variables (Percentile)","Neighborhood Change, Socioeconomic Variables (Percentile)",Newer Clean Vehicles (Percentile),Older Clean Vehicles (Percentile),Primary Care Shortage Areas,Total Housing Units,Total Occupied Housing Units,Vehicles per Household,Walkability Index,Walkability Index (Percentile),x,y
6037237800,Los Angeles,3664,1.53,54.72,37.61,0.22,0,1.47,16.69,Yes,SCAG,Yes,02. 60-80%,0.3755944,9755.2,60 to 70,0,9.27,79.09,36.91,60 to 70,25.39,6.08,23.93,13.16,60.83,9.78,39.17,76.07,0,22.65,90 to 100,90 to 100,103.18,90 to 100,90 to 100,0 to 10,2,20 to 30,32.9,40 to 50,70 to 80,9.8,9,70 to 80,3871.2,30 to 40,617.69,0 to 10,Black,70 to 80,78.8,46042,10 to 20,50 to 60,20 to 30,20 to 30,Yes,1454,1366,1.71,14.1,70 to 80,,
6037237900,Los Angeles,4517,2.06,69.94,26.46,0.09,0,0,17.16,Yes,SCAG,Yes,02. 60-80%,0.3782944,11940.44,70 to 80,0,9.8,79.94,24.57,60 to 70,34.68,9.92,22.85,12,67.18,6.22,32.82,77.15,1.84,28.01,90 to 100,90 to 100,123.61,90 to 100,80 to 90,0 to 10,2,20 to 30,38.39,10 to 20,70 to 80,9.76,8,70 to 80,3875.29,30 to 40,816.82,0 to 10,Black,70 to 80,74.2,57298,80 to 90,10 to 20,20 to 30,10 to 20,Yes,1466,1371,1.77,15.25,80 to 90,,
6037238000,Los Angeles,5886,1.72,69.05,26.45,1.19,1.05,0,10.79,Yes,SCAG,Yes,03. 80-140%,0.6423072,9163.84,60 to 70,0,5.84,85.69,31.1,60 to 70,23.21,19.51,24.45,8.48,56.38,7.81,43.62,75.55,0,25.89,90 to 100,80 to 90,136.3,90 to 100,80 to 90,40 to 50,2,20 to 30,37.41,10 to 20,80 to 90,10.85,8,70 to 80,3668.03,30 to 40,697.49,0 to 10,Black,80 to 90,74.3,63970,60 to 70,0 to 10,20 to 30,10 to 20,Yes,2356,2219,1.48,14.58,70 to 80,,
6037238100,Los Angeles,4259,3.05,71.71,23.55,0.38,0,0.35,23.34,Yes,SCAG,Yes,02. 60-80%,0.3798276,11212.98,70 to 80,0,10.37,84.04,25.91,70 to 80,27.36,13.21,29.7,6.67,51.08,4.35,48.92,70.3,0,23.15,90 to 100,90 to 100,127.53,90 to 100,80 to 90,10 to 20,2,20 to 30,36.39,20 to 30,70 to 80,10.08,8,80 to 90,4883.79,40 to 50,1105.76,0 to 10,Black,80 to 90,73.6,45900,40 to 50,40 to 50,20 to 30,20 to 30,Yes,1855,1756,1.57,13.83,60 to 70,,
6037238200,Los Angeles,4994,1.34,73.11,21.83,4.31,0,0,16.66,Yes,SCAG,Yes,02. 60-80%,0.3963837,12598.9,70 to 80,0,1.01,86.58,22.92,70 to 80,31.05,15.9,37.6,7.25,48.63,6.37,51.37,61.83,2.17,20.64,90 to 100,90 to 100,105.87,90 to 100,90 to 100,0 to 10,2,20 to 30,31.48,10 to 20,70 to 80,10.01,9,80 to 90,6153.13,60 to 70,2247.82,0 to 10,Black,80 to 90,74.1,42344,0 to 10,50 to 60,20 to 30,20 to 30,Yes,2439,2157,1.29,15.15,80 to 90,,
6037238310,Los Angeles,5018,1.06,24.39,74.39,0,0.18,0,51.14,Yes,SCAG,Yes,01. 0-60%,0.1533088,32731.32,90 to 100,1.1,11.2,81.15,27.29,90 to 100,43.14,26.13,67.84,20.96,9.08,6.54,90.92,32.16,0,51.28,90 to 100,80 to 90,73,80 to 90,90 to 100,0 to 10,3,30 to 40,32.25,10 to 20,50 to 60,8.35,9,90 to 100,9673.29,50 to 60,1291.51,0 to 10,Hispanic,70 to 80,75.3,22367,20 to 30,60 to 70,0 to 10,0 to 10,Yes,1483,1454,1.22,12.8,50 to 60,,
6037238320,Los Angeles,4090,0.34,30.32,69.44,0.59,0.71,0,37.37,Yes,SCAG,Yes,01. 0-60%,0.1808031,22621.29,90 to 100,0,7.7,80.02,23.04,80 to 90,37.53,19.18,57.15,14.9,12.97,8.77,87.03,42.85,0.84,55.19,90 to 100,90 to 100,75.15,80 to 90,90 to 100,20 to 30,3,20 to 30,36.17,20 to 30,50 to 60,8.62,9,90 to 100,6570.68,70 to 80,2527.61,0 to 10,Hispanic,70 to 80,75.1,33375,40 to 50,70 to 80,10 to 20,10 to 20,Yes,1188,1126,1.45,14.72,70 to 80,,
6037238400,Los Angeles,4801,1,78.34,17.43,0,0.29,0,19.9,Yes,SCAG,Yes,02. 60-80%,0.5025301,9553.66,60 to 70,0,2.43,93.25,26.32,70 to 80,28.47,13.16,18.63,8.47,61.43,2.66,38.57,80.69,0.55,12.6,90 to 100,90 to 100,119.8,90 to 100,80 to 90,30 to 40,2,30 to 40,30.25,40 to 50,70 to 80,9.7,8,70 to 80,3812.71,50 to 60,1629.75,0 to 10,Black,80 to 90,76.8,51420,40 to 50,30 to 40,20 to 30,20 to 30,Yes,1916,1846,1.63,16.11,90 to 100,,
6037239201,Los Angeles,3913,0.66,20.39,78.97,0,0,0.77,31.94,Yes,SCAG,Yes,01. 0-60%,0.1736954,22527.94,90 to 100,1.89,11.83,63.88,26.08,80 to 90,37.77,12.34,27.22,24.35,20.25,13.66,79.75,72.78,6.1,48.5,90 to 100,90 to 100,95.56,90 to 100,90 to 100,10 to 20,1,10 to 20,30.67,30 to 40,90 to 100,13.17,9,80 to 90,5584.49,60 to 70,2245.31,0 to 10,Hispanic,80 to 90,75.3,37000,10 to 20,90 to 100,10 to 20,20 to 30,Yes,970,948,1.6,13.43,60 to 70,,
6037239202,Los Angeles,5682,0.3,13.09,86.48,0,0,0.77,22.26,Yes,SCAG,Yes,01. 0-60%,0.49252,11536.59,70 to 80,0,11.05,65.76,21.74,70 to 80,46.51,18.28,23.64,18.8,26,18.67,74,76.36,2.17,53.01,90 to 100,90 to 100,91.39,80 to 90,90 to 100,10 to 20,1,10 to 20,37.58,40 to 50,90 to 100,12.62,9,50 to 60,2464.87,80 to 90,4868.84,0 to 10,Hispanic,80 to 90,76.7,35871,90 to 100,20 to 30,10 to 20,10 to 20,Yes,1214,1127,1.73,13.25,60 to 70,,
6037239310,Los Angeles,4026,2.41,11.57,89.62,0,0,0.27,31.5,Yes,SCAG,Yes,01. 0-60%,0.2065087,19495.55,90 to 100,3.57,12.1,66.57,26.59,70 to 80,42.38,12.75,27.01,21.24,30.88,13.62,69.12,72.99,2.51,40.61,90 to 100,90 to 100,95.56,90 to 100,90 to 100,0 to 10,1,10 to 20,32.31,60 to 70,90 to 100,13.17,9,80 to 90,5360.55,60 to 70,1680.32,0 to 10,Hispanic,80 to 90,77.3,39479,80 to 90,40 to 50,10 to 20,10 to 20,Yes,1107,1004,1.82,13.89,60 to 70,,
6037239320,Los Angeles,4179,0.26,13.81,84.78,0.65,0,4.95,34.57,Yes,SCAG,Yes,02. 60-80%,0.1340056,31185.26,90 to 100,1.48,11.88,61.59,32.29,70 to 80,32.41,18.48,22.54,20,36.02,20.79,63.98,76.07,1.74,50.08,90 to 100,90 to 100,95.56,90 to 100,90 to 100,0 to 10,1,10 to 20,34.24,60 to 70,90 to 100,13.17,9,80 to 90,6454.95,80 to 90,4134.16,0 to 10,Hispanic,80 to 90,75.9,42203,80 to 90,50 to 60,20 to 30,10 to 20,Yes,865,844,1.72,13.93,60 to 70,,
6037239330,Los Angeles,2689,0.52,7.62,91.26,0,0,0.3,35.96,Yes,SCAG,Yes,01. 0-60%,0.378196,7110.07,50 to 60,1.12,8.58,72.85,30.12,90 to 100,42.28,13.2,16.48,25.96,33.28,12.69,66.72,80.26,0.56,42.69,90 to 100,90 to 100,45.07,40 to 50,90 to 100,0 to 10,2,20 to 30,34.33,40 to 50,30 to 40,6.57,9,40 to 50,1861.47,80 to 90,4545.26,0 to 10,Hispanic,90 to 100,78.5,34741,90 to 100,40 to 50,10 to 20,0 to 10,Yes,704,682,1.82,12.51,50 to 60,,
6037239501,Los Angeles,3622,2.35,20.82,76.37,1.05,0,0,21.94,Yes,SCAG,Yes,01. 0-60%,0.1830947,19782.11,90 to 100,0.64,8.45,73.39,29.38,80 to 90,28.08,9.97,22.21,20.82,37.87,13.27,62.13,77.79,2.06,40.67,90 to 100,90 to 100,72.52,80 to 90,80 to 90,0 to 10,1,10 to 20,33.58,70 to 80,80 to 90,10.79,9,80 to 90,5090.26,50 to 60,1217.95,0 to 10,Hispanic,80 to 90,79.1,40388,40 to 50,30 to 40,10 to 20,10 to 20,Yes,932,903,1.78,14.88,70 to 80,,
6037239502,Los Angeles,3726,0.35,21.87,77.62,0,0,0,31.38,Yes,SCAG,Yes,01. 0-60%,0.1972662,18888.18,90 to 100,1.47,11.8,70.82,20.99,60 to 70,34.32,14.38,29,19.75,36.73,14.22,63.27,70.13,0,45.89,90 to 100,70 to 80,68.91,70 to 80,80 to 90,0 to 10,3,10 to 20,38.59,30 to 40,70 to 80,10.35,9,80 to 90,4684.03,50 to 60,1637.38,0 to 10,Hispanic,80 to 90,74.3,34605,10 to 20,30 to 40,10 to 20,0 to 10,Yes,924,904,1.72,14.5,70 to 80,,
6037239601,Los Angeles,3629,0.61,18.41,79.33,0.22,1.65,1.76,32.14,Yes,SCAG,Yes,01. 0-60%,0.1630467,22257.43,90 to 100,0.72,12.74,73.42,25.87,70 to 80,38.91,10.57,32.58,26.98,24.78,10.39,75.22,67.42,2.74,44.83,90 to 100,90 to 100,95.56,90 to 100,90 to 100,0 to 10,2,20 to 30,35.87,30 to 40,90 to 100,13.17,9,80 to 90,5986.02,60 to 70,1668.23,0 to 10,Hispanic,90 to 100,78.5,36029,50 to 60,20 to 30,10 to 20,20 to 30,Yes,976,908,1.78,14.75,70 to 80,,
6037239602,Los Angeles,3805,0.74,20.16,80.42,0.45,0,0.81,34.04,Yes,SCAG,Yes,01. 0-60%,0.1382578,27521.05,90 to 100,0.31,10.88,70.27,36.29,80 to 90,35.58,17.38,36.17,16.79,27,14.32,73,63.83,2.58,57.06,90 to 100,70 to 80,95.56,90 to 100,90 to 100,0 to 10,3,10 to 20,37.69,10 to 20,90 to 100,13.17,9,90 to 100,6719.33,30 to 40,694.36,0 to 10,Hispanic,80 to 90,72.2,36425,70 to 80,50 to 60,10 to 20,10 to 20,Yes,929,863,1.52,12.31,50 to 60,,
6037239701,Los Angeles,5015,0,18.33,81.67,0,0,0.42,43.51,Yes,SCAG,Yes,01. 0-60%,0.1581814,31704.11,90 to 100,0,11.04,66.72,23.96,90 to 100,42.08,18.1,27.79,17.29,22.71,17.2,77.29,72.21,0.9,47.88,90 to 100,70 to 80,95.56,90 to 100,90 to 100,0 to 10,3,10 to 20,37.77,30 to 40,90 to 100,13.17,9,90 to 100,6960.36,30 to 40,764.94,0 to 10,Hispanic,80 to 90,75.2,33414,50 to 60,30 to 40,10 to 20,10 to 20,Yes,1101,1083,1.55,13.97,60 to 70,,
